account_symbol,timestamp,session,symbol,cash,quantity,close_price,market_value,equity,current_weight,average_entry_price,unrealized_pnl,realized_pnl,cumulative_cost,current_drawdown,peak_equity,cumulative_dividends,cumulative_commission_cost,cumulative_slippage_cost,cumulative_transaction_cost
AAPL,2024-01-05T21:00:00+00:00,2024-01-05,AAPL,100000.0,0.0,181.1799927,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
AAPL,2024-01-08T21:00:00+00:00,2024-01-08,AAPL,100000.0,0.0,185.5599976,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
AAPL,2024-01-09T21:00:00+00:00,2024-01-09,AAPL,100000.0,0.0,185.1399994,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
AAPL,2024-01-10T21:00:00+00:00,2024-01-10,AAPL,100000.0,0.0,186.1900024,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
AAPL,2024-01-11T21:00:00+00:00,2024-01-11,AAPL,100000.0,0.0,185.5899963,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
AAPL,2024-01-12T21:00:00+00:00,2024-01-12,AAPL,100000.0,0.0,185.9199982,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
AAPL,2024-01-16T21:00:00+00:00,2024-01-16,AAPL,100000.0,0.0,183.6300049,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
AAPL,2024-01-17T21:00:00+00:00,2024-01-17,AAPL,100000.0,0.0,182.6799927,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
AAPL,2024-01-18T21:00:00+00:00,2024-01-18,AAPL,100000.0,0.0,188.6300049,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
AAPL,2024-01-19T21:00:00+00:00,2024-01-19,AAPL,100000.0,0.0,191.5599976,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
